Stereo DAC MIXR DAC R1 Switch	 => MX-2A[6]
Stereo DAC MIXR DAC R2 Switch	 => MX-2A[4]
Stereo DAC MIXR DAC L1 Switch	 => MX-2A[1]
Stereo DAC MIXR ANC Switch	 => MX-2A[2]
Stereo DAC MIXL DAC L1 Switch	 => MX-2A[14]
Stereo DAC MIXL DAC L2 Switch	 => MX-2A[12]
Stereo DAC MIXL DAC R1 Switch	 => MX-2A[9]
Stereo DAC MIXL ANC Switch	 => MX-2A[10]
ANC Mux				 => MX-18[6]
Sidetone Mux			 => MX-18[11:9]
DAC1 R Mux			 => MX-29[11:10]
DAC1 L Mux			 => MX-29[9:8]
DAC R2 Mux			 => MX-1B[2:0]
DAC L2 Mux			 => MX-1B[6:4]
DAC1 MIXR Stereo ADC Switch	 => MX-29[7]
DAC1 MIXR DAC1 Switch		 => MX-29[6]
DAC1 MIXL Stereo ADC Switch	 => MX-29[15]
DAC1 MIXL DAC1 Switch		 => MX-29[14]
VAD ADC Mux			 => MX-9D[9:8]
IF1 ADC2 IN1 Mux		 => MX-FA[10]	
IF1 ADC2 IN Mux			 => MX-2F[15]
IF1 ADC1 IN2 Mux		 => MX-FA[11]
IF1 ADC1 IN1 Mux		 => MX-FA[12]
IF4 ADC Mux			 => MX-30[5:4]
IF3 ADC Mux			 => MX-2F[2:0]
IF2 ADC Mux			 => MX-2F[14:12]
RxDP Mux			 => MX-2D[15:13]
DSP DL Mux			 => MX-2D[0]
DSP UL Mux			 => MX-2D[1]
TDM Data Mux			 => MX-2D[3:2]
Mono ADC MIXR ADC1 Switch	 => MX-28[6]
Mono ADC MIXR ADC2 Switch	 => MX-28[5]
Mono ADC MIXL ADC1 Switch	 => MX-28[14]
Mono ADC MIXL ADC2 Switch	 => MX-28[13]
Sto2 ADC MIXR ADC1 Switch	 => MX-26[6]
Sto2 ADC MIXR ADC2 Switch	 => MX-26[5]
Sto2 ADC MIXL ADC1 Switch	 => MX-26[14]
Sto2 ADC MIXL ADC2 Switch	 => MX-26[13]
Sto1 ADC MIXR ADC1 Switch	 => MX-27[6]
Sto1 ADC MIXR ADC2 Switch	 => MX-27[5]
Sto1 ADC MIXL ADC1 Switch	 => MX-27[14]
Sto1 ADC MIXL ADC2 Switch	 => MX-27[13]
Mono ADC R2 Mux			 => MX-28[3]
Mono ADC R1 Mux			 => MX-28[4]
Mono ADC L1 Mux			 => MX-28[12]
Mono ADC L2 Mux			 => MX-28[11]
Mono DMIC R Mux			 => MX-28[1:0]
Mono DMIC L Mux			 => MX-28[9:8]
Mono ADC R Mux			 => MX-28[2]
Mono ADC L Mux			 => MX-28[10]
Stereo2 ADC LR Mux		 => MX-26[15]
Stereo2 ADC1 Mux		 => MX-26[12]
Stereo2 ADC2 Mux		 => MX-26[11]
Stereo2 DMIC Mux		 => MX-26[9:8]
Stereo2 ADC Mux			 => MX-26[10]
Stereo1 ADC1 Mux		 => MX-27[12]
Stereo1 ADC2 Mux		 => MX-27[11]
Stereo1 DMIC Mux		 => MX-27[9:8]
Stereo1 ADC Mux			 => MX-27[10]
RECMIXM BST4 Switch		 => MX-40[4]
RECMIXM BST3 Switch		 => MX-40[3]
RECMIXM BST2 Switch		 => MX-40[2]
RECMIXM BST1 Switch		 => MX-40[1]
RECMIXR INR Switch		 => MX-3E[5]
RECMIXR BST4 Switch		 => MX-3E[4]
RECMIXR BST3 Switch		 => MX-3E[3]
RECMIXR BST2 Switch		 => MX-3E[2]
RECMIXR BST1 Switch		 => MX-3E[1]
RECMIXL INL Switch		 => MX-3C[5]
RECMIXL BST4 Switch		 => MX-3C[4]
RECMIXL BST3 Switch		 => MX-3C[3]
RECMIXL BST2 Switch		 => MX-3C[2]
RECMIXL BST1 Switch		 => MX-3C[1]
